rank,arxiv_id,title,published_date,cited_by_count,total_score,abs_url
2437,2605.17517,AffordVLA: Injecting Affordance Representations into Vision-Language-Action Models via Implicit Feature Alignment,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17517
2438,2605.17477,Rapid Vibration Suppression and Trajectory Tracking of a Serial Manipulator with Multi-Flexible Links,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17477
2439,2605.17451,DeTrack: A Benchmark and Altitude-Aware Dual World Model for Drone-embodied Tracking,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17451
2440,2605.17336,"Tactile-based Multimodal Fusion in Embodied Intelligence: A Survey of Vision, Language, and Contact-Driven Paradigms",2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17336
2441,2605.17300,HCLM: A Hierarchical Framework for Cooperative Loco-Manipulation with Dual Quadrupeds,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17300
2442,2605.17293,Task Capability Improvement Algorithm for Collaborative Manipulators,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17293
2443,2605.17204,Event-Grounded Sparse Autoencoders for Vision-Language-Action Policies,2026-05-17,missing,1.0,https://arxiv.org/abs/2605.17204
2444,2606.00053,VLAMotor: Test-Guided Enhancement of Vision-Language-Action Models via Agent-BasedData Synthesis,2026-05-16,missing,1.0,https://arxiv.org/abs/2606.00053
2445,2605.17144,Contrastive Conceptor Activation Steering (COAST): Unlocking Vision-Language-Action Models through Hidden States,2026-05-16,missing,1.0,https://arxiv.org/abs/2605.17144
2446,2605.17077,How to Instruct Your Robot: Dense Language Annotations Power Robot Policy Learning,2026-05-16,missing,1.0,https://arxiv.org/abs/2605.17077
2447,2605.16871,SADP: Subgoal-Aware Diffusion Policy for Explainable Robots Learned from Foundation Model Generated Demonstrations,2026-05-16,missing,1.0,https://arxiv.org/abs/2605.16871
2448,2605.16797,EgoKit: Towards Unified Low-Cost Egocentric Data Collection with Heterogeneous Devices,2026-05-16,missing,1.0,https://arxiv.org/abs/2605.16797
2449,2605.16659,Non-linear diffusion and inhomogeneity of the magnetic field in single-turn coils: Insights from 3D multiphysics modeling,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16659
2450,2605.16547,World Model-Enabled Causal Digital Twins for Semantic Communications in Physical AI Systems,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16547
2451,2605.16537,"Nori Bot: A Sub-$1,000 Floor-to-Counter Mobile Manipulator",2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16537
2452,2605.16241,Offline Semantic Guidance for Efficient Vision-Language-Action Policy Distillation,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16241
2453,2605.16056,Health-Conditioned Vision-Language-Action Models for Malfunction-Aware Robot Control,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16056
2454,2605.16043,Learning Sim-Grounded Policies for Bimanual Rope Manipulation from Human Teleoperation Data,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.16043
2455,2605.15975,Learning Bilevel Policies over Symbolic World Models for Long-Horizon Planning,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15975
2456,2605.15971,OHP-RL: Online Human Preference as Guidance in Reinforcement Learning for Robot Manipulation,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15971
2457,2605.15964,WorldVLN: Autoregressive World Action Model for Aerial Vision-Language Navigation,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15964
2458,2605.15944,FocalPolicy: Frequency-Optimized Chunking and Locally Anchored Flow Matching for Coherent Visuomotor Policy,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15944
2459,2605.15836,GAP: Geometric Anchor Pre-training for Data-Efficient Visuomotor Learning of Manipulation Tasks,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15836
2460,2605.15753,Hierarchical and Holistic Open-Vocabulary Functional 3D Scene Graphs for Indoor Spaces,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15753
2461,2605.15713,Learning Dynamic Pick-and-Place for a Legged Manipulator,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15713
2462,2605.15548,KaRMA: A Kinematic Metric for Fine Manipulation Ability in Robotic Hands,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15548
2463,2605.15536,SkiP: When to Skip and When to Refine for Efficient Robot Manipulation,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15536
2464,2605.15510,A QUBO Formulation Framework for Kinematic Structure-Based Robot Design Optimization: A Robotic Hand Case Study,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15510
2465,2605.15509,parallelcbf: A composable safety-filter and auditability framework for tensor-parallel reinforcement learning,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15509
2466,2605.15492,FLASH: Efficient Visuomotor Policy via Sparse Sampling,2026-05-15,missing,1.0,https://arxiv.org/abs/2605.15492
2467,2605.15480,Residual Reinforcement Learning for Robot Teleoperation under Stochastic Delays,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15480
2468,2605.15477,EgoExo-WM: Unlocking Exo Video for Ego World Models,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15477
2469,2605.15430,Where to Perch in a Tree: Vision-Guidance for Tree-Grasping Drones,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15430
2470,2605.15391,PanoWorld: Geometry-Consistent Panoramic Video World Modeling,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15391
2471,2605.15352,Diffusion Policy for Coordinated Control of a Nonholonomic Mobile Base and Dual Arms in Door Opening and Passing,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15352
2472,2605.15298,PhysBrain 1.0 Technical Report,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15298
2473,2605.15157,Hand-in-the-Loop: Improving VLA Policies for Dexterous Manipulation via Seamless Hand-Arm Intervention,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.15157
2474,2605.14937,Slot-MPC: Goal-Conditioned Model Predictive Control with Object-Centric Representations,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14937
2475,2605.14712,IntentVLA: Short-Horizon Intent Modeling for Aliased Robot Manipulation,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14712
2476,2605.14598,DSSP: Diffusion State Space Policy with Full-History Encoding,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14598
2477,2605.14571,Let Robots Feel Your Touch: Visuo-Tactile Cortical Alignment for Embodied Mirror Resonance,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14571
2478,2605.14526,DiffPhD: A Unified Differentiable Solver for Projective Heterogeneous Materials in Elastodynamics with Contact-Rich GPU-Acceleration,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14526
2479,2605.14504,When Robots Do the Chores: A Benchmark and Agent for Long-Horizon Household Task Execution,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14504
2480,2605.14398,Coding Agent Is Good As World Simulator,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14398
2481,2605.14274,CreFlow: Corrective Reflow for Sparse-Reward Embodied Video Diffusion RL,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14274
2482,2605.14211,ASH: Agents that Self-Hone via Embodied Learning,2026-05-14,missing,1.0,https://arxiv.org/abs/2605.14211
2483,2605.16412,SCAR: Self-Supervised Continuous Action Representation Learning,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.16412
2484,2605.14174,Safety-Constrained Reinforcement Learning with Post-Training Reachability Verification for Robot Navigation,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.14174
2485,2605.14106,Behavior Cloning for Active Perception with Low-Resolution Egocentric Vision,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.14106
2486,2605.13996,Ergodic Imitation for Adaptive Exploration around Demonstrations,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13996
2487,2605.13959,WarmPrior: Straightening Flow-Matching Policies with Temporal Priors,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13959
2488,2605.13925,Towards Robotic Dexterous Hand Intelligence: A Survey,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13925
2489,2605.13778,Realtime-VLA FLASH: Speculative Inference Framework for Diffusion-based VLAs,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13778
2490,2605.13775,RoboEvolve: Co-Evolving Planner-Simulator for Robotic Manipulation with Limited Data,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13775
2491,2605.13757,FrameSkip: Learning from Fewer but More Informative Frames in VLA Training,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13757
2492,2605.13754,Manipulation Planning for Construction Activities with Repetitive Tasks,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13754
2493,2605.13665,Robot Squid Game: Quadrupedal Locomotion for Traversing Narrow Tunnels,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13665
2494,2605.13632,"Guide, Think, Act: Interactive Embodied Reasoning in Vision-Language-Action Models",2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13632
2495,2605.13492,Phantom Force: Injecting Adversarial Tactile Perceptions into Embodied Intelligence via EMI,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13492
2496,2605.13452,CUBic: Coordinated Unified Bimanual Perception and Control Framework,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13452
2497,2605.13403,RotVLA: Rotational Latent Action for Vision-Language-Action Model,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13403
2498,2605.13382,BlockVLA: Accelerating Autoregressive VLA via Block Diffusion Finetuning,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13382
2499,2605.13328,What Limits Vision-and-Language Navigation ?,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13328
2500,2605.13315,Embodied Neurocomputation: A Framework for Interfacing Biological Neural Cultures with Scaled Task-Driven Validation,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13315
2501,2605.13276,D-VLA: A High-Concurrency Distributed Asynchronous Reinforcement Learning Framework for Vision-Language-Action Models,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13276
2502,2605.13117,SECOND-Grasp: Semantic Contact-guided Dexterous Grasping,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13117
2503,2605.13105,"What to Ignore, What to React: Visually Robust RL Fine-Tuning of VLA Models",2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13105
2504,2605.13086,Object Manipulation of the Variable Topology Truss system,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13086
2505,2605.13058,MUJICA: Multi-skill Unified Joint Integration of Control Architecture for Wheeled-Legged Robots,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.13058
2506,2605.12920,Embodied Multi-Agent Coordination by Aligning World Models Through Dialogue,2026-05-13,missing,1.0,https://arxiv.org/abs/2605.12920
2507,2605.16395,OrbiSim: World Models as Differentiable Physics Engines for Embodied Intelligence,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.16395
2508,2605.12416,Aligning Flow Map Policies with Optimal Q-Guidance,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12416
2509,2605.12386,SafeManip: A Property-Driven Benchmark for Temporal Safety Evaluation in Robotic Manipulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12386
2510,2605.12247,SI-Diff: A Framework for Learning Search and High-Precision Insertion with a Force-Domain Diffusion Policy,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12247
2511,2605.12236,TMRL: Diffusion Timestep-Modulated Pretraining Enables Exploration for Efficient Policy Finetuning,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12236
2512,2605.12228,Morphologically Equivariant Flow Matching for Bimanual Mobile Manipulation,2026-05-12,missing,1.0,https://arxiv.org/abs/2605.12228
